eleccion_id,año,eleccion_tipo,recuento_tipo,padron_tipo
1,2011,PASO,PROVISORIO,NORMAL
10,2017,PASO,PROVISORIO,NORMAL
9,2017,PASO,PROVISORIO,COMANDO
8,2017,GENERAL,PROVISORIO,NORMAL
7,2017,GENERAL,PROVISORIO,COMANDO
5,2015,GENERAL,PROVISORIO,NORMAL
4,2015,BALLOTAGE,PROVISORIO,NORMAL
0,2011,GENERAL,PROVISORIO,NORMAL
6,2015,PASO,PROVISORIO,NORMAL
3,2013,PASO,PROVISORIO,NORMAL
2,2013,GENERAL,PROVISORIO,NORMAL
16,2021,PASO,PROVISORIO,NORMAL
15,2021,PASO,PROVISORIO,COMANDO
14,2019,PASO,PROVISORIO,NORMAL
13,2019,PASO,PROVISORIO,COMANDO
12,2019,GENERAL,PROVISORIO,NORMAL
11,2019,GENERAL,PROVISORIO,COMANDO
